M020-kode;M020-navn
NiN-3.0-T-C-PE-NA-MB-TC04-M020-01;saltanrikningsmark
NiN-3.0-T-C-PE-NA-MB-TC05-M020-01;strandeng
NiN-3.0-T-C-PE-NA-MB-TC05-M020-02;brakkvanns-strandeng
NiN-3.0-T-C-PE-NA-MB-TC06-M020-01;fuglefjell-eng
NiN-3.0-T-C-PE-NA-MB-TC07-M020-01;fugletopp
NiN-3.0-T-C-PE-NA-MB-TC08-M020-01;kalkfattig moderat til seint snøleie
NiN-3.0-T-C-PE-NA-MB-TC08-M020-02;intermediært til litt kalkrikt moderat til seint snøleie
NiN-3.0-T-C-PE-NA-MB-TC08-M020-03;sterkt kalkrikt moderat til seint snøleie
NiN-3.0-T-C-PE-NA-MB-TC08-M020-04;fattig til litt kalkrikt ekstrem-snøleie
NiN-3.0-T-C-PE-NA-MB-TC08-M020-05;sterkt kalkrikt ekstrem-snøleie
NiN-3.0-T-C-PE-NA-MB-TD01-M020-01;kalkfattig sand- og grus-rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-02;intermediær til litt kalkrik sand- og grus-rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-03;sterkt kalkrik sand- og grus-rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-04;kalkfattig stein til storblokket rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-05;intermediær til litt kalkrik stein til storblokket rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-06;sterkt kalkrik stein til storblokket rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-07;kalkfattig storblokket tørke-eksponert rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-08;intermediær til litt kalkrik storblokket tørke-eksponert rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-09;sterkt kalkrik storblokket tørke-eksponert rasmark
NiN-3.0-T-C-PE-NA-MB-TD02-M020-01;flomskredmark
NiN-3.0-T-C-PE-NA-MB-TD03-M020-01;kalkfattig rasmarkeng og -hei
NiN-3.0-T-C-PE-NA-MB-TD03-M020-02;intermediær til litt kalkrik rasmarkeng og -hei
NiN-3.0-T-C-PE-NA-MB-TD03-M020-03;klart kalkrik rasmarkeng og -hei
